,Department,Title,Course,Units,Description
779,Drama,Graduate Make-Up for Designers,54830,6.0,"This course is structured as a lecture/demonstration and lab employing and exploring the principles of stage makeup, the variety of materials available and the practical application of these materials. The course is designed to provide the student with a working knowledge of broad-based application procedures, materials and techniques. We will also explore the principles of characterization allowing for the development, planning, and execution of effectual character makeup designs. The student should also be able to determine the stage-worthiness of a makeup application and how light will influence its appearance."
780,Drama,Graduate Scenic Design: Design for Live and Screen Spaces:,54832,9.0,A3
781,Drama,Graduate Stage Management Seminar,54839,3.0,This class provides stage managers an opportunity to participate in in-depth discussion about the production process. Specific issues related to CMU productions and troubleshooting problems are a particular focus. The class also presents guest speakers on related topics and will work on longer-term projects as needed.
782,Drama,Graduate Costume Design for the Classics,54842,5.0,"This Mini 3 focuses on a range of playwrights and classic theatre genres from among Moliere, Brecht and Shakespeare. Special attention is paid to process, research, critical thinking, character development, style, nuts and bolts and the honing of each individual designers skills. PRE-REQUISITE"
783,Drama,Graduate Draping for the Designer II,54844,3.0,Draping for the Designer II is a continuation and development of the proficiencies established in Draping for the Designer I. This course emphasizes the drapers role in the creation of period womens wear
784,Drama,Graduate Fabric Dyeing I,54845,9.0,
785,Drama,Graduate Scenic Design Skills: 3D Model Making,54846,4.0,"In this mini students explore a variety of three-dimensional media techniques as they learn to build models for the Scenic Designer. Students will investigate many aspects of model-making, from basic structural ideas to complex organic and architectural forms, furniture, and advanced techniques such as scale painting, soldering and carving. Through these methods, students will develop a better understanding of space and objects in space in the theatre."
786,Drama,Graduate 30 Hour OSHA,54847,2.0,For Production Technology Management majors.
787,Drama,Graduate Tailoring II,54850,9.0,TBD
788,Drama,Graduate Architectural Lighting Design,54852,9.0,"The students ability to analyze and translate information in the script to descriptive stage pictures is developed in a more in-depth process. Verbal, written and visual communication of ideas is emphasized and explored through texts and lab work. Issues of collaboration with the director and other members of the design team are discussed as part of the design process."
789,Drama,Graduate Costume Design with Music,54854,5.0,"A rigorous second semester exploration of costume design for musicals and opera that engages students in aesthetic and practical techniques applied toward these two genres. Special attention paid to music skills, process, research, designing for principals and chorus, swatching, nuts and bolts and the honing of each designers individual skills. PRE-REQUISITE"
790,Drama,Think Tank,54855,6.0,TBD
791,Drama,Graduate Directing: Directors' Series Second Year,54858,10.0,Missing Course Description - please contact the teaching department.
792,Drama,Graduate Production Management Workshop,54859,3.0,"Investigates the organization, planning and interpersonal skills required to successfully manage a live theatrical production. Topics covered include"
793,Drama,Graduate Costume Crafts: Mask Making,54860,6.0,This course opens the world of mask creation to the adventurous student. A broad range of techniques are touched upon and explored allowing students to pick and choose those processes which appeal to their aesthetic and apply to their needs.
794,Drama,Production Preparation Grad:,54861,9-36,Participation in School of Drama productions in design or production roles.
795,Drama,Graduate Welding,54864,4.0,"An introduction to the four most common metal joining processes, including Oxyfuel processes (welding, brazing, braze welding, and bending), SMAW (stick), GMAW (MIG), and GTAW (TIG). Welding safety, equipment setup and basic welding techniques will be covered. This is a required course for Drama Technical Direction majors. Open to non-majors if space is available."
796,Drama,Graduate Scenic Design Skills: 2D Drawing and Rendering,54872,4.0,This mini offers practice in two-dimensional drawing and rendering for the theatre.
797,Drama,Graduate Technical Direction II,54874,6.0,This course is an exploration of techniques and practices of Technical Designers. The class has four main components
798,Drama,Graduate Concept Studio,54876,3.0,"This seminar is for all graduate students in the Video Media Design option for every semester of the program. It serves as a place for us to develop a common vocabulary for the ever-changing work we do and a place to reflect on the larger contexts for our practice. Through readings, discussion and design critiques we explore the state of the art. Each semester starts with a series of readings around a general topic picked by Larry and then students create annotated bibliographies of several new readings provoked by this topic. One reading from each students bibliography is then read and discussed by the class. Students are expected to thoroughly read all materials and actively participate in discussions and through this process, develop multiple areas of interest for further study. This course helps ground the design process in ideas, prepares students for the academic research component of their future thesis projects and ideally, sets the stage for a life of informed conceptual exploration. Required for all VMD Grads (1,2,3). Not open to others."
799,Drama,Grad Understanding Textiles,54886,3.0,"Understanding Textiles is a half-semester introduction to the textiles used for the performing arts. This course begins with an overview of the historical development of textile technology and the role cloth plays in world economies. Next it examines weaving structures and how they impact suitability for particular applications. Techniques for identifying fibers, weaves and fabric density are learned. The course culminates with a project that uses all the explored skills, a fabric in history swatch book. Each student takes an era of history, researches cloth production at that time, finds period appropriate swatches, accurately identifies them and suggests uses for each. These individual chapters are combined into a large resource book, a copy of which each participant keeps for future reference."
800,Drama,Grad Screenwriting IV,54888,15.0,Missing Course Description - please contact the teaching department.
801,Drama,PTM Thesis,54890,3.0,None
802,Drama,Playwriting IV,54892,15.0,None
803,Drama,Dramatic Writing Thesis,54894,9.0,Missing Course Description - please contact the teaching department.
804,Drama,Directed Study in Design and Production,54897,6-36,An opportunity to pursue a predefined design project outside of the standard curriculum under the guidance and direction of a School of Drama faculty member. By special permission only.
805,Drama,Graduate Composition for Theatrical Sound Design 2,54898,9.0,"This course will concentrate on further developing compositional skills for use in theatrical sound design. The full length of this course is designed to take place over two semesters. This is the second semester and builds on compositional techniques such as writing melody, harmony, counterpoint and orchestration techniques. The second semester focuses particularly on more advanced skills in composition within a theatrical context. Through projects distributed throughout the semester students practice the skill-based techniques of music notation, orchestration, synthesis, sequencing, working with instrumentalists and the creation and utilization of sample-based instruments. This course will also cover textual analysis as it applies to both the inspiration for composition and to the more direct challenge of setting music to text."
806,Drama,Graduate Staging Media,54900,9.0,"Staging Media is a practical, process-oriented class, focused on building the skills to go from a conceptual design to an actual completed show. We cover how to create, rehearse with and stage meaningful media designs. Through real-world examples, students will learn the best practices for bringing their designs to life. Students are expected to master a wide range of material. Required for new VMD Juniors, 1st Year VMD Grads; others by permission."
807,Drama,Thesis Research and Writing:,54904,6.0,For graduate students in the School of Drama.
808,Drama,Graduate Ear Training,54905,1.0,"Ear Training for sound designers and audio technologists. Introduction and development of skills and techniques for discerning, measuring and expressing the physical qualities of sound with accuracy and sensitivity. Topics include recognizing frequencies (1/3 octave and dual-octave) and analyzing effects and processing (pitch, amplitude, time domain and timbral). This course is open to Drama Sound Design majors/minors, Music Technology major/minors or by permission of the instructor."
809,Drama,Graduate Lighting Pre-visualization Software,54917,6.0,"An exploration of lighting pre-visualization software, including Augment3d, MA3d and L8"
810,Drama,Graduate Technical Direction IV,54926,6.0,"The purpose of this class is to prepare Technical Directors as Technical Designers, specifying the engineering and fabrication of discrete scenic elements in a production context. Upon completion of this course, students should be able to"
811,Drama,Graduate Advanced Digital Sound Design Skills,54928,6.0,For Graduate Sound Design students only. Advanced sound creation and manipulation through student designed and constructed software and hardware. Prerequisite
812,Drama,Graduate Advanced Topics in Stage Management I,54944,6.0,For Production and Stage Management graduate students
813,Drama,Graduate Directing: Thesis,54958,"15,30",Missing Course Description - please contact the teaching department.
814,Drama,Directed Study in PTM Thesis,54970,12.0,No course description provided.
815,Drama,Design Thesis Practicum:,54994,9-21,TBD
816,Drama,Internship,54996,9-40,to be determined
817,Drama,Graduate Sound Design For Interactive Environments:,54997,9.0,"This course will examine the process, execution and implementation of sound design for interactive and non-linear storytelling paradigms. Emerging trends in immersive theater, gaming, installation art and multi-media place unique demands on the sound designer both in terms of content and delivery. The student will explore how these demands effect the fundamental processes of design, development of content and flexible delivery systems. Through a combination of directed readings, exploration of current emerging trends, and project assignments the student will be encouraged to experiment and explore design modes and methodologies that support this flexible method of storytelling."
818,Economics,Study Abroad,73051,0.0,This course number is a place holder and assigned to economics students studying abroad by CMUs Office of International Education.
819,Economics,Economics: BaseCamp,73060,3.0,"This short course will launch you into the economics intellectual space and get you thinking like an economist. Through a series of presentations by some of CMUs great economics thinkers you will learn how economic reasoning harnessed to data can lead to better policy design and better business decision making. Presentations may cover the economics of bitcoin and crypto-currency, online market design, financial crises, the future of work, how to become involved in economics research, healthcare, the environment, and other topics. The presentations will be curated by one of CMUs research economists and there will be plenty of opportunities for discussion and debate. The course will also introduce you to the CMU approach to economics and map out the CMU economics major landscape."
820,Economics,Principles of Microeconomics,73102,9.0,"A one-semester course that teaches the fundamentals of microeconomics. Students will learn how microeconomic analysis can explain market successes, market failures, and how government intervention might improve outcomes. In addition to an investigation of firm behavior and consumer behavior, attention will be paid to"
821,Economics,Principles of Macroeconomics,73103,9.0,A one-semester course that teaches the fundamentals of macroeconomics. Students will learn how macroeconomic analysis can explain national economic activity and how government intervention might stabilize an economy. Topics include
822,Economics,Foundations of Microeconomics: Applications and Theory,73160,9.0,"Intermediate level microeconomics stresses individual economic decision making in the context of consumer behavior, and firm behavior, and examines in detail how these behaviors interact in competitive market settings to answer the fundamental economic questions of what gets produced, how it gets produced, and who gets the output. These component theories of economic behavior are the building blocks of higher level economic analysis, as well as the basis for examining empirically-motivated deviations from classical economic predictions. As such, most of the course will be methodological in its focus, although many of the problems in the weekly assignments will involve everyday personal and business applications. The experiments we do will also give students hands-on experience with the phenomena that economic theories try to explain. (Lecture, 3 hours"
823,Economics,Economics Colloquium I,73210,3.0,"Economics majors meet weekly for discussions about current research by faculty or students, presentations on economics from economists outside academia, and expository talks on selected economics topics not part of the usual curricula. The colloquium provides students with opportunities to grow personally and intellectually by introducing them to campus resources (including special interest to undergraduates such as preparation for graduate school) and using the economic toolbox to examine current economic topics in the press. It is recommended that students take this course during the sophomore year so that economics majors realize the range of resources that exist on campus. (Colloquium, 1 hour)"
824,Economics,Intermediate Microeconomics,73230,9.0,"This course is a calculus-based study of microeconomics. Topics in partial equilibrium analysis include supply and demand, consumer theory, theory of the firm, profit maximizing behavior, monopoly theory, and perfect competition. The course concludes with an introduction to general equilibrium analysis and the welfare laws. (Lecture, 3 hours; Recitation, 1 hour). Minimum grade of C required in all economics pre-requisite courses. Not open to first year student during S18."
825,Economics,Intermediate Macroeconomics,73240,9.0,"Through macroeconomic models built upon microeconomic foundations, insights are developed into economic growth processes and business cycles. Topics include aggregation and measurement, national income, business cycle measurement, economic welfare theorems and social inefficiencies, the effect of government fiscal policy upon employment and productivity, and the relationship between investment, interest rates and economic growth. (Lecture, 3 hours; Recitation, 1 hour). Minimum grade of C required in all economics pre-requisite courses."
826,Economics,Independent Study in Economics,73255,1-9,The Independent Study course in economics allows students to pursue their own research interests in any of a variety of topics in economics. A typical independent study course involves a semester long project under the supervision of an appropriate faculty advisor. The nature and scope of the project are determined by the student and faculty advisor; the project proposal must be approved by an Undergraduate Economics Program staff member. Minimum grade of C required in all economics pre-requisite courses.
827,Economics,Developing Blockchain Use Case,73258,6.0,"Blockchains, or distributed ledger and consensus technologies, hold tremendous promise for improving markets and organically handling private, secure data. As CMU develops its own blockchain and token---CMU Coin---a central concern is to determine the set of applications that such technology would be most useful for. This course is designed for students to propose and, potentially, develop applications or use cases for a campus blockchain. http"
828,Economics,Economics and Data Science,73265,9.0,"This course is at the intersection of economic analysis, computing and statistics. It develops foundational skills in these areas and provides students with hands-on experience in identifying, analyzing and solving real-world data challenges in economics and business. Students will learn the basics of database and data manipulation, how to visualize, present and interpret data related to economic and business activity by employing statistics and statistical analysis, machine learning, visualization techniques. Students will also be taught a programming language suitable for data science/analysis. Databases will include leading economic indicators; emerging market country indicators; bond and equity returns; exchange rates; stock options; education and income by zip code; sales data; innovation diffusion; experimental and survey data and many others. Applications will include analyzing the effectiveness of different Internet pricing strategies on firm sales, the impact of taking online classes on a workers earnings, the relationship between regional employment and trade policies; constructing investment risk indices for emerging markets; predicting employee productivity with machine learning tools; assessing health (sleep and exercise) improvements associated with wearable technologies (e.g. FitBit). Additionally, the course will provide students with communication skills to effectively describe their findings for technical and non-technical audiences. Minimum grade of C required in all economics pre-requisite courses."
829,Economics,Professional Communication for Economists,73270,9.0,"A writing course specifically designed for third-year Economics majors and additional majors. Students gain experience with technical writing techniques and skills needed for both their senior thesis and their eventual professional careers. The course emphasizes both individual and group projects. (Seminar, 3 hours). Minimum grade of C required in all economics pre-requisite courses."
830,Economics,Econometrics I,73274,9.0,"This course will provide an introduction to the analysis of economic field data. The first part of the course will discuss how data is generated and how this affects the inferences we can make. In particular, we will look at the difficulties of working with field data and learn how non-random sampling leads to poor inferences. We will then move on to some simple statistical techniques, in particular OLS and its extensions as well as Maximum Likelihood Estimators. We will also learn about the large sample properties of these estimators. At the end of the course, students should be able to understand what inferences can be made with field data and some basic statistical techniques that can be used to uncover patterns in the data. (Lecture, 3 hours; Recitation, 1 hour). Pre-reqs for those entering Fall 2018 and later"
831,Economics,Upper Level Economics Elective Transfer Credit,73305,9-12,This number holds a place for upper level economics elective (non study abroad) transfer credit courses so that these courses can be used in the academic audit system.
832,Economics,Market Design,73315,9.0,"In this course, we consider the design of various market mechanisms. We learn the typical causes of market failures and why we need to design new markets. For each topic, we start with a case study of a problem, develop a theory to address it, and consider its possible solutions. The class is roughly divided into three parts"
833,Economics,Political Economy,73332,9.0,"The Political Economy course looks at how groups within society organize for self-governance. The course will begin with an overview of the ways groups of individuals organize for collective action by examining different types of political institutions, the role these institutions play in different contexts, and the economic and strategic micro-foundations that give rise to these institutions. We will then examine the empirical evidence supporting this taxonomy, leading to a more detailed consideration of institutions that moderate social conflicts. The next part of the course examines basic results in social choice theory"
834,Economics,Financial Crises and Risk,73338,9.0,"This course provides an in-depth examination of the causes of financial crises as well as what governments can do to prevent them or at least reduce their cost. The course is designed to to provide an understanding of individual attitudes towards risk and individual decision making about savings and investment under uncertainty, and to use this understanding to evaluate the various economic roles played by financial institutions in helping individuals manage risk, especially those roles which may lead to economic instability and crises. In addition, the course may cover bubbles and swindles, especially when these spillover to the broader macroeconomy; the role of information in banking in normal times and in bank runs; crisis resolution techniques; and the extensive history of attempts to improve regulation so as to reduce the frequency and cost of crises. (Lecture, 3 hours). Minimum grade of C required in all economics pre-requisite courses."
835,Economics,Within the Firm: Managing through Incentives,73341,9.0,"We live in an exciting age of information and knowledge when inspiring employees within a firm becomes increasing important. Aligning the objectives of workers, managers, and owners by providing them with appropriate incentives becomes an emerging paradigm in the modern business world. In this course, we learn how to reason about incentives between managers and employees, between managers and owners, and within a team of co-workers. We cover a broad range of topics including objective and subjective performance measurements, relative performance evaluations, relational contracts, and executive compensation. The course relies on business case discussions, rigorous theoretical material, and numerous class activities. (Lecture, 3 hours). Minimum grade of C required in all economics pre-requisite courses."
836,Economics,Game Theory Applications for Economics and Business,73347,9.0,"An introduction to the theory of non-cooperative games with an emphasis on economic applications. After an initial examination of two-person, zero-sum games, the notion of a Nash equilibrium in an n-person, non-cooperative game is considered. Existence of and refinements to the equilibrium concept are discussed in the context of both normal and extensive form games. Economic applications may include various topics, including Cournot and Bertrand oligopoly models, general competitive exchange equilibrium, and free rider problems. (Lecture, 3 hours). Minimum grade of C required in all economics pre-requisite courses."
837,Economics,Behavioral Economics,73348,9.0,"This course introduces students to behavioral economics which is a subfield of economics that incorporates insights from other social sciences, such as psychology, into economic models and aims to explain the anomalies challenging some of the classical economic models. (Lecture, 3 hours). Minimum grade of C required in all economics pre-requisite courses."
838,Economics,Benefit-Cost Analysis,73359,9.0,"The evaluation of public private sector projects. The theory of benefit-cost analysis and related techniques, such as cost-effectiveness analysis. Attention is given to such issues as valuing goods and services that are not normally traded in the marketplace (e.g., the value of an individuals life) and the social rate of discount. Applications are considered in detail. (Lecture, 3 hours). Minimum grade of C required in all economics pre-requisite courses."
839,Economics,"Firms, Market Structures, and Strategy",73365,9.0,"This course is concerned with the economic analysis of industrial markets that are not perfectly competitive. The effects of imperfect competition on firms decisions (pricing, location, advertising, research and development, among others) are reviewed. Implications of these effects in terms of public policy are also discussed from a variety of perspectives. Finally, applications to actual markets are considered. (Lecture, 3 hours). Minimum grade of C required in all economics pre-requisite courses."
840,Economics,Designing the Digital Economy,73366,9.0,"This class analyzes the economics of e-commerce and technology. It will identify the critical features that differentiate the technology firms from traditional industries, and examine the implications for business strategy. The class will discuss topics such as network effects, switching costs, and platform markets. To complement the economic theory, we will also consider a case study of a firm each week. These have three aims"
841,Economics,Independent Study in Economics,73395,1-18,The Independent Study course in economics allows the student to pursue his or her own research interests in any of a variety of topics in economics. A typical independent study course involves a semester long project under the supervision of an appropriate faculty advisor. The nature and scope of the project are determined by the student and faculty advisor; the project proposal must be approved by an Undergraduate Economics Program staff member. Minimum grade of C required in all economics pre-requisite courses.
842,Economics,Study Abroad Upper Level Economics Elective,73401,9-18,This number holds a place for upper level economics elective study abroad transfer credit courses so that these courses can be used in the academic audit system.
843,Economics,Study Aboard Upper Level Economics Elective,73402,9-18,This number holds a place for upper level economics elective study abroad transfer credit courses so that these courses can be used in the academic audit system.
844,Economics,Study Aboard Upper Level Economics Elective,73403,9-18,This number holds a place for upper level economics elective study abroad transfer credit courses so that these courses can be used in the academic audit system.
845,Economics,Study Aboard Upper Level Economics Elective,73404,9-18,This number holds a place for upper level economics elective study abroad transfer credit courses so that these courses can be used in the academic audit system.
846,Economics,Law and Economics,73408,9.0,"This course will provide a broad overview of the scholarly field known as law and economics. The focus will be on how legal rules and institutions can correct market failures. We will discuss the economic function of contracts and, when contracts fail or are not feasible, the role of legal remedies to resolve disputes. We will also discuss at some length the choice between encouraging private parties to initiate legal actions to correct externalities and governmental actors, such aas regulatory authorities. Extensive attention will be given to the economics of litigation, and to how private incentives to bring lawsuits differ from the social value of litigation. The economic motive to commit crimes, and the optimal governmental response to crime, will be studied in depth. Specific topics within the preceding broad themes include"
847,Economics,Forecasting for Economics and Business,73423,9.0,"Governments forecast economic indicators (e.g., GDP, job growth, etc.); businesses forecast sales; portfolio managers forecast asset return; the list goes on. Accurate forecasts are critical to robust organizational decision-making. This course will introduce students to modern methods for forecasting in economic and business applications. Topics covered include Bayesian, statistical, and online learning approaches to forecast construction and assessment, univariate and multivariate time series models and algorithms, and principled combination of multiple methods and data sources along with subject matter expertise to improve performance. Methods will be motivated by applications in macroeconomics, technology, marketing, and finance, with cases drawn from forecasting processes in a variety of business and government organizations. Students will implement forecasting methods in R, including in a real data forecasting competition."
848,Economics,Advanced Independent Study in Economics,73495,1-18,The Independent Study course in economics allows the student to pursue his or her own research interests in any of a variety of topics in economics. A typical independent study course involves a semester long project under the supervision of an appropriate faculty advisor. The nature and scope of the project are determined by the student and faculty advisor; the project proposal must be approved by an Undergraduate Economics Program staff member. Minimum grade of C required in all economics pre-requisite courses.
849,Economics,Tepper College Honors Thesis I,73500,3-18,Economics majors with outstanding academic records and intellectual promise will be given the opportunity to undertake original research under the direction of individual faculty members. Research topics are selected by students and approved by faculty. Prerequisites
850,Economics,Tepper College Honors Thesis II,73501,3-18,Economics majors with outstanding academic records and intellectual promise will be given the opportunity to undertake original research under the direction of individual faculty members. Research topics are selected by students and approved by faculty. Prerequisites include
851,Electrical & Computer Engineering,Introduction to Printed Circuit Boards Fabrication,18021,3.0,"This course will introduce students to the process of designing, laying out, and ordering a printed circuit board from a commercial vendor using commercial layout tools. Boards will be laid out to accommodate circuit schematics provided to the students (with possible modifications made by students). Students will order circuit components and populate the fabricated board when it is returned from the vendor. The final stage of the course will involve testing the completed board for functionality."
852,Electrical & Computer Engineering,Study Abroad,18051,0.0,Students are encouraged to pursue various international collaborative programs offered through the department of Electrical and Computer Engineering.
853,Electrical & Computer Engineering,Twisted Signals: Multimedia Processing for the Arts,18090,10.0,"[IDeATe portal course] - This course presents an overview on manipulating and synthesizing sound, video, and control signals. Signals are the raw materials used in many forms of electronic art and design - electronic music, interactive art, video art, kinetic sculpture, and more. In these fields, signals are used to represent information about sound, images, sensors, and movement. By transforming and manipulating these types of signals, we are able to create powerful new tools for digital art, multimedia applications, music, responsive environments, video and sound installation, smart products, and beyond. In this course we will study Signal Processing from a practical point-of-view, developing tools that can be easily integrated into art-making using the graphical programming environment Max (a.k.a. Max/MSP/Jitter). We will present a survey of Signal Processing techniques used in the sonic and visual arts, and will discuss the mathematical theories underlying these techniques. Students will be encouraged to combine, modify, and extend working examples of software to create original digital artworks."
854,Electrical & Computer Engineering,Introduction to Electrical and Computer Engineering,18100,12.0,"This course introduces students to a broad scope of electrical and computer engineering. The objectives are to prepare students for the next tier of ECE core courses and to excite them about ECE. The course covers topics such as Data Processing, Data Transmission, and Data Storage. Specific coverage includes"
855,Electrical & Computer Engineering,Mathematical Foundations of Electrical Engineering,18202,12.0,"This course covers topics from engineering mathematics that serve as foundations for descriptions of electrical engineering devices and systems. It is the corequisite mathematics course for 18-220, Fundamentals of Electrical Engineering. The topics include"
856,Electrical & Computer Engineering,Introduction to Computer Systems,18213,12.0,"This course provides a programmers view of how computer systems execute programs, store information, and communicate. It enables students to become more effective programmers, especially in dealing with issues of performance, portability and robustness. It also serves as a foundation for courses on compilers, networks, operating systems, and computer architecture, where a deeper understanding of systems-level issues is required. Topics covered include"
857,Electrical & Computer Engineering,Electronic Devices and Analog Circuits,18220,12.0,"This course covers fundamental topics that are common to a wide variety of electrical engineering devices and systems. The topics include an introduction to semiconductor devices and technology, DC circuit analysis techniques, operational amplifiers, energy storage elements, sinusoidal steady-state response, frequency domain analysis, filters, and transient response of first- and second-order systems. The laboratories allow students to use modern electronic instrumentation and to build and operate circuits that address specific concepts covered in the lectures, including semiconductor devices and sensors, layout, operational amplifiers, filters, signal detection and processing, power converters and circuit transients. 3 hrs. lec., 1 hr. rec., 3 hrs. lab."
858,Electrical & Computer Engineering,Structure and Design of Digital Systems,18240,12.0,This course introduces basic issues in design and verification of modern digital systems. Topics include
859,Electrical & Computer Engineering,Signals and Systems,18290,12.0,"This course develops the mathematical foundation and computational tools for processing continuous-time and discrete-time signals in both time and frequency domain. Key concepts and tools introduced and discussed in this class include linear time-invariant systems, impulse response, frequency response, convolution, filtering, sampling, and Fourier transform. Efficient algorithms like the fast Fourier transform (FFT) will be covered. The course provides background to a wide range of applications including speech, image, and multimedia processing, bio and medical imaging, sensor networks, communication systems, and control systems. This course serves as entry and prerequisite for any higher level course in the fields of signal processing, communications, and control. Prerequisite(s)"
860,Electrical & Computer Engineering,Fundamentals of Semiconductor Devices,18310,12.0,"This course replaced 18311 in Spring 2005. In this course you will receive an introduction to the operation and fabrication of the most important semiconductor devices used in integrated circuit technology together with device design and layout. At the end of the course you will have a basic understanding of pn diodes, bipolar transistors, and MOSFETs as well as some light emitting and light detecting devices such as photodiodes, LEDs and solar cells. You will also receive an introduction to the fundamental concepts of semiconductor physics such as doping, electron and hole transport, and band diagrams. In the laboratory you will learn how to lay out both bipolar and MOS devices and you will design small (2-3 transistor) circuits. The laboratory portion of the course emphasizes the relation between device design and layout and circuit performance. You will also experimentally evaluate the operation of amplifier and gate circuits fabricated with discrete devices. This course will give you an excellent understanding of the operation and fabrication of the devices which is necessary for high-performance analog and digital circuit design. 3 hrs. lec. (Note"
861,Electrical & Computer Engineering,Microelectronic Circuits:,18320,12.0,"18-320 introduces students to the fundamentals of microelectronic circuits. The course will emphasize the analysis and design of basic analog and digital integrated circuits in preparation for further study in analog, digital, mixed-signal, and radio-frequency integrated circuit design. Additionally, students will learn to design and analyze microelectronic circuits using industry standard computer aided design (CAD) software. Topics to be covered include"
862,Electrical & Computer Engineering,Introduction to Computer Security,18330,12.0,"Security is becoming one of the core requirements in the design of critical systems. This course will introduce students to the intro-level fundamental knowledge of computer security and applied cryptography. Students will learn the basic concepts in computer security including software vulnerability analysis and defense, networking and wireless security, and applied cryptography. Students will also learn the fundamental methodology for how to design and analyze security critical systems."
863,Electrical & Computer Engineering,Network Security,18334,12.0,"Some of todays most damaging attacks on computer systems involve exploitation of network infrastructure, either as the target of attack or as a vehicle to advance attacks on end systems. This course provides an in-depth study of network attack techniques and methods to defend against them. The course will cover topics spanning five broad themes"
864,Electrical & Computer Engineering,Secure Software Systems,18335,12.0,"Poor software design and engineering are the root causes of most security vulnerabilities in deployed systems today. Moreover, with code mobility now commonplace--particularly in the context of web technologies and digital rights management--system designers are increasingly faced with protecting hosts from foreign software and protecting software from foreign hosts running it. This class takes a close look at software as a mechanism for attack, as a tool for protecting resources, and as a resource to be defended. Topics covered include the software design process; choices of programming languages, operating systems, databases and distributed object platforms for building secure systems; common software vulnerabilities, such as buffer overflows and race conditions; auditing software; proving properties of software; software and data watermarking; code obfuscation; tamper resistant software; and the benefits of open and closed source development. Students in 18-335 will share lectures and homeworks with students in 18-732. However, 18-732 has additional requirements not shared by 18-335, including the requirement to produce scribe notes and to practice and demonstrate the ability to read and summarize scientific papers on the topics covered by the course."
865,Electrical & Computer Engineering,Introduction to Embedded Systems,18349,12.0,"This practical, hands-on course introduces the various building blocks and underlying scientific and engineering principles behind embedded real-time systems. The course covers the integrated hardware and software aspects of embedded processor architectures, along with advanced topics such as real-time, resource/device and memory management. Students can expect to learn how to program with the embedded architecture that is ubiquitous in smartphones, portable gaming devices, robots, etc. Students will then go on to learn and apply real-time principles that are used to drive critical embedded systems like automobiles, avionics, medical equipment, etc. Topics covered include embedded architectures (building up to modern 16/32/64-bit embedded processors); interaction with devices (buses, memory architectures, memory management, device drivers); concurrency (software and hardware interrupts, timers); real-time principles (multi-tasking, scheduling, synchronization); implementation trade-offs, profiling and code optimization (for performance and memory); embedded software (exception handling, loading, mode-switching, programming embedded systems). Through a series of laboratory exercises with state-of-the-art embedded processors, sensors, actuators and industry-strength development tools, students will acquire skills in the design/implementation/debugging of core embedded real-time functionality."
866,Electrical & Computer Engineering,ECE CO-OP,18390,0-3,"The Department of Electrical and Computer Engineering at Carnegie Mellon considers experiential learning opportunities important educational options for its undergraduate students. One such option is cooperative education, which provides a student with an extended period of exposure with a company. To participate, students must complete an ECE Co-op Approval form (located in HH 1116) and submit for approval. Students must possess at least junior status and have an overall grade point average of 3.0 or above. All co-ops must be approximately 8 months in uninterrupted length. If the co-op is approved, the ECE Undergraduate Studies Office will add the course to the students schedule. Upon completion of the co-op experience, students must submit a 1-2 page report of their work experience, and a 1-2 page evaluation from the company supervisor to the ECE Undergraduate Studies Office. Due to federal restrictions on student work experiences, international students are not eligible for co-ops. Please visit the CPT page for information regarding international student internships."
867,Electrical & Computer Engineering,Nano-Bio-Photonics,18416,12.0,"Light can penetrate biological tissues non-invasively. Most of the available bio-optic tools are bulky. With the advent of novel nanotechnologies, building on-chip integrated photonic devices for applications such as sensing, imaging, neural stimulation, and monitoring is now a possibility. These devices can be embedded in portable electronic devices such as cell phones for point of care diagnostics. This course is designed to convey the concepts of nano-bio-photonics in a practical way to prepare students to engage in emerging photonic technologies. The course starts with a review of electrodynamics of lightwaves. The appropriate choice of wavelength and material platform is the next topic. Then optical waveguides and resonators are discussed. Resonance-based sensing is introduced followed by a discussion of the Figure of Merits (FOMs) used to design on-chip sensors. Silicon photonics is introduced as an example of a CMOS-compatible platform. On-chip spectroscopy is the next topic. The second part covers nano-plasmonics for bio-detection and therapy. The design methods are discussed, followed by an overview of nanofabrication and chemical synthesis, and then a discussion of applications. The last part of this course will be dedicated to a review of recent applications such as Optogenetic neural stimulation, Calcium imaging, Cancer Imaging and Therapy. Senior or graduate standing required. This course is cross-listed with 18616. Although students in 18-616 and 18-416 will share the same lectures and recitations, students in 18-616 will receive distinct course projects. Students in 18-416 and 18-616 will be graded on separate curves."
868,Electrical & Computer Engineering,Computer Networks,18441,12.0,"The Internet has transformed our everyday lives, bringing people closer together and powering multi-billion dollar industries. The mobile revolution has brought Internet connectivity to the last-mile, connecting billions of users worldwide. But how does the Internet work? What do oft repeated acronyms like LTE, TCP, WWW or a HTTP actually mean and how do they work? This course introduces fundamental concepts of computer networks that form the building blocks of the Internet. We trace the journey of messages sent over the Internet from bits in a computer or phone to packets and eventually signals over the air or wires. We describe concepts that are common to and differentiate traditional wired computer networks from wireless and mobile networks. Finally, we build up to exciting new trends in computer networks such as the Internet of Things, 5-G and software defined networking. Topics include"
